name,model_size,buffer_type,acc_new,f1_new,precision_new,recall_new,acc_all,f1_all,precision_all,recall_all,acc_base,f1_base,precision_base,recall_base,training_time,buffer_length,buffer_memory
standalone_pho+bigru,1154.2398977279663,unlimit,0.8485714285714286,0.3538730203822315,0.4561695926025194,0.3179613095238095,1.0111586757990867,0.7270032871817068,0.8621547232324934,0.6728752938952142,0.9777397260273972,0.8873238218500179,1.041673574270557,0.8046875,45.68728321790695,2449.25,179.51923179626465
standalone_bert+bilstm,1564.7387399673462,remind,0.8728571428571429,0.454965156794425,0.5632352941176471,0.3913244047619048,0.9826923076923078,0.7242168028577535,0.9253170297969934,0.6061258233852737,0.967948717948718,0.8693567647711811,1.1063111813111814,0.7321428571428572,38.46281182765961,512.0,48.04302215576172
multimodal_bert+bilstm_None+MLP,1041.6777772903442,unlimit,0.87,0.5104124871030609,0.5515318414025311,0.4964583333333333,0.9399844720496894,0.6984225944943132,0.7872162752952254,0.6695783739874742,0.937888198757764,0.819846410607627,0.9884242068920592,0.7440476190476191,32.160871267318726,2449.25,459.5520420074463
multimodal_bert+bilstm_resnet50+MLP,1225.1484470367432,unlimit,0.7957142857142857,0.3560320866297672,0.3272295404648346,0.4188988095238095,0.9476473922902496,0.6622609709293904,0.5809329950409411,0.7644219499166163,0.9200680272108844,0.8035116984213863,0.7954303801609631,0.8189655172413793,48.46504372358322,2449.25,478.6307487487793
multimodal_bert+bilstm_None+MLP,1041.6777772903442,limit,0.8785714285714286,0.4809748427672956,0.5850649350649351,0.420610119047619,0.934394409937888,0.6472275981582675,0.7883750497490654,0.5736253420439544,0.9177018633540373,0.7753793072942009,0.9805722732552002,0.6666666666666667,32.45533174276352,512.0,96.06640625
multimodal_bert+bilstm_resnet50+MLP_None+MLP_embedding+MLP,1322.957709312439,limit,0.8571428571428572,0.4495313111251542,0.498015873015873,0.4205208333333333,0.9398504273504272,0.64522279624902,0.7838739812325215,0.531485061373941,0.908653846153846,0.7620739005488824,0.9447775628626692,0.6170212765957447,43.14639055728912,512.0,100.37109375
standalone_pho+bigru,1154.2398977279663,remind,0.8385714285714285,0.3597204393096562,0.3928717320261438,0.3386458333333333,0.9838470319634705,0.6366882370975117,0.7168820112179487,0.5972821968701724,0.9315068493150686,0.7325293043353706,0.9435905301448064,0.6328125,53.876764595508575,512.0,18.79302215576172
multimodal_bert+bilstm_resnet50+MLP,1225.1484470367432,limit,0.7557142857142857,0.3174012301157992,0.2621174463937621,0.4123958333333333,0.9058956916099774,0.6153440935013498,0.4839599017695453,0.7744775512358528,0.9047619047619048,0.8159957793037499,0.7440219053444453,0.8793103448275862,60.93903583288193,512.0,100.0546875
standalone_pho+bilstm,1157.5094289779663,unlimit,0.8385714285714285,0.0621460746460746,0.1770833333333333,0.0441220238095238,1.068939393939394,0.6152106453805151,0.5962797619047618,0.6571363594681445,0.9886363636363636,1.016439138851973,0.9045615637559372,1.0749999999999995,109.93755733966827,2449.25,179.51923179626465
standalone_pho+bigru,1154.2398977279663,limit,0.8442857142857143,0.3362745098039215,0.4991866556382685,0.2908630952380952,0.9821917808219178,0.5981423212842738,0.7792307251658519,0.5443281010822834,0.9092465753424656,0.6608879891785083,0.9138453432448248,0.5859375,48.290480732917786,512.0,37.52734375
multimodal_bert+bigru_None+MLP,1037.6699647903442,limit,0.8585714285714285,0.3879305977710233,0.6012707722385142,0.3404017857142857,0.9578192640692642,0.5941021802667161,0.9067092583347608,0.4838978361524402,0.9253246753246752,0.7010220673635308,1.120914343324673,0.5365853658536586,30.176310181617737,512.0,96.06640625
multimodal_bert+bilstm_resnet50+MLP_None+MLP_embedding+MLP,1322.957709312439,unlimit,0.862857142857143,0.3655753968253968,0.5758116883116883,0.3164285714285714,0.9582264957264957,0.5874097787178464,1.0615584374157216,0.4241642244035039,0.9455128205128204,0.7404397380158221,1.2563863136130191,0.5425531914893618,53.05526149272919,2449.25,480.1443386077881
multimodal_bert+bigru_resnet50+MLP_None+MLP_embedding+MLP,1318.949896812439,unlimit,0.822857142857143,0.4268348065635758,0.4898989898989899,0.4916815476190476,0.8835122699386504,0.5859072892438577,0.6784780949025135,0.589666947162268,0.8466257668711656,0.6470488466757124,0.8103807122022364,0.5795454545454546,45.76564621925354,2449.25,480.1443386077881
multimodal_bert+bigru_None+MLP,1037.6699647903442,remind,0.8414285714285714,0.2930868193696729,0.4728937728937729,0.2589880952380952,0.9366883116883116,0.5554548215765673,0.8071950717050907,0.4634679404953217,0.9366883116883116,0.7872020509977826,1.0527936559035067,0.6646341463414634,39.43657946586609,512.0,48.08208465576172
multimodal_bert+bigru_resnet50+MLP_None+MLP_embedding+MLP,1318.949896812439,remind,0.7242857142857143,0.3143295383861421,0.3005832009244547,0.4954017857142857,0.8036042944785277,0.5315474948298534,0.5725783963938818,0.6649192078253285,0.8512269938650306,0.7082893324125206,0.820999326545299,0.7329545454545454,57.50040006637573,512.0,50.29312896728516
